Names,Age,Team,Nationality,Contract Expiration,Page Link,Name ID,Manager ID,Manager Profile
Hansi Flick,59,FC Barcelona,Germany,"Jun 30, 2026",https://www.transfermarkt.us/hansi-flick/profil/trainer/67,hansi-flick,67,https://img.a.transfermarkt.technology/portrait/header/67-1730118788.jpg?lm=1
Carlo Ancelotti,65,Real Madrid,Italy,"Jun 30, 2026",https://www.transfermarkt.us/carlo-ancelotti/profil/trainer/523,carlo-ancelotti,523,https://img.a.transfermarkt.technology/portrait/header/523-1502276656.jpg?lm=1
Diego Simeone,54,Atlético de Madrid,Argentina,"Jun 30, 2027",https://www.transfermarkt.us/diego-simeone/profil/trainer/2868,diego-simeone,2868,https://img.a.transfermarkt.technology/portrait/header/2868-1666861792.jpg?lm=1
Ernesto Valverde,60,Athletic Bilbao,Spain,"Jun 30, 2025",https://www.transfermarkt.us/ernesto-valverde/profil/trainer/1559,ernesto-valverde,1559,https://img.a.transfermarkt.technology/portrait/header/1559-1502879607.jpg?lm=1
Marcelino,59,Villarreal CF,Spain,"Jun 30, 2026",https://www.transfermarkt.us/marcelino/profil/trainer/5095,marcelino,5095,https://img.a.transfermarkt.technology/portrait/header/5095-1699904486.jpg?lm=1
Jagoba Arrasate,46,RCD Mallorca,Spain,"Jun 30, 2027",https://www.transfermarkt.us/jagoba-arrasate/profil/trainer/29192,jagoba-arrasate,29192,https://img.a.transfermarkt.technology/portrait/header/_1375350614.jpg?lm=1
Vicente Moreno,50,CA Osasuna,Spain,"Jun 30, 2025",https://www.transfermarkt.us/vicente-moreno/profil/trainer/19601,vicente-moreno,19601,https://img.a.transfermarkt.technology/portrait/header/19601-1583333307.jpg?lm=1
Míchel,49,Girona FC,Spain,"Jun 30, 2026",https://www.transfermarkt.us/michel/profil/trainer/33636,michel,33636,https://img.a.transfermarkt.technology/portrait/header/33636-1696963408.jpg?lm=1
Imanol Alguacil,53,Real Sociedad,Spain,"Jun 30, 2025",https://www.transfermarkt.us/imanol-alguacil/profil/trainer/33333,imanol-alguacil,33333,https://img.a.transfermarkt.technology/portrait/header/33333-1545833695.jpg?lm=1
Manuel Pellegrini,71,Real Betis Balompié,Chile,"Jun 30, 2026",https://www.transfermarkt.us/manuel-pellegrini/profil/trainer/1558,manuel-pellegrini,1558,https://img.a.transfermarkt.technology/portrait/header/1558-1547732049.jpg?lm=1
