Names,Age,Team,Position,Roles,Nationality,Market Value (In Millions),Player Profile Link,Name ID,ID,League,Player Image
Matteo Prati,20,Cagliari Calcio,Defensive Midfield,Midfield,Italy,€10.00m,https://www.transfermarkt.us/matteo-prati/profil/spieler/876298,matteo-prati,876298,Serie A,https://img.a.transfermarkt.technology/portrait/header/876298-1686214955.jpg?lm=1
Antoine Makoumbou,26,Cagliari Calcio,Defensive Midfield,Midfield,Congo,€4.50m,https://www.transfermarkt.us/antoine-makoumbou/profil/spieler/460651,antoine-makoumbou,460651,Serie A,https://img.a.transfermarkt.technology/portrait/header/460651-1730186433.jpg?lm=1
Răzvan Marin,28,Cagliari Calcio,Defensive Midfield,Midfield,Romania,€3.50m,https://www.transfermarkt.us/razvan-marin/profil/spieler/295183,razvan-marin,295183,Serie A,https://img.a.transfermarkt.technology/portrait/header/295183-1719665338.jpg?lm=1
Alessandro Deiola,29,Cagliari Calcio,Central Midfield,Midfield,Italy,€1.90m,https://www.transfermarkt.us/alessandro-deiola/profil/spieler/235931,alessandro-deiola,235931,Serie A,https://img.a.transfermarkt.technology/portrait/header/235931-1692964002.jpg?lm=1
Michel Adopo,24,Cagliari Calcio,Central Midfield,Midfield,France,€1.00m,https://www.transfermarkt.us/michel-adopo/profil/spieler/564305,michel-adopo,564305,Serie A,https://img.a.transfermarkt.technology/portrait/header/564305-1730186534.jpg?lm=1
Nicolas Viola,35,Cagliari Calcio,Central Midfield,Midfield,Italy,€0.8m,https://www.transfermarkt.us/nicolas-viola/profil/spieler/85393,nicolas-viola,85393,Serie A,https://img.a.transfermarkt.technology/portrait/header/85393-1692962279.jpg?lm=1
Nadir Zortea,25,Cagliari Calcio,Right Midfield,Midfield,Italy,€3.00m,https://www.transfermarkt.us/nadir-zortea/profil/spieler/392966,nadir-zortea,392966,Serie A,https://img.a.transfermarkt.technology/portrait/header/392966-1730186481.jpg?lm=1
Jakub Jankto,28,Cagliari Calcio,Left Midfield,Midfield,Czech Republic,€1.20m,https://www.transfermarkt.us/jakub-jankto/profil/spieler/319160,jakub-jankto,319160,Serie A,https://img.a.transfermarkt.technology/portrait/header/319160-1692962488.jpg?lm=1
Gianluca Gaetano,24,Cagliari Calcio,Attacking Midfield,Midfield,Italy,€6.00m,https://www.transfermarkt.us/gianluca-gaetano/profil/spieler/358008,gianluca-gaetano,358008,Serie A,https://img.a.transfermarkt.technology/portrait/header/358008-1656581154.jpg?lm=1
Mattia Felici,23,Cagliari Calcio,Left Winger,Attack,Italy,€1.50m,https://www.transfermarkt.us/mattia-felici/profil/spieler/600041,mattia-felici,600041,Serie A,https://img.a.transfermarkt.technology/portrait/header/600041-1730125232.jpg?lm=1
Zito Luvumbo,22,Cagliari Calcio,Centre-Forward,Attack,Angola,€7.50m,https://www.transfermarkt.us/zito-luvumbo/profil/spieler/666547,zito-luvumbo,666547,Serie A,https://img.a.transfermarkt.technology/portrait/header/666547-1655123282.jpg?lm=1
Roberto Piccoli,23,Cagliari Calcio,Centre-Forward,Attack,Italy,€4.00m,https://www.transfermarkt.us/roberto-piccoli/profil/spieler/432092,roberto-piccoli,432092,Serie A,https://img.a.transfermarkt.technology/portrait/header/432092-1663672767.jpg?lm=1
Gianluca Lapadula,34,Cagliari Calcio,Centre-Forward,Attack,Peru,€1.50m,https://www.transfermarkt.us/gianluca-lapadula/profil/spieler/130394,gianluca-lapadula,130394,Serie A,https://img.a.transfermarkt.technology/portrait/header/130394-1718677760.jpg?lm=1
Kingstone Mutandwa,21,Cagliari Calcio,Centre-Forward,Attack,Zambia,€1.00m,https://www.transfermarkt.us/kingstone-mutandwa/profil/spieler/1111663,kingstone-mutandwa,1111663,Serie A,https://img.a.transfermarkt.technology/portrait/header/1111663-1710139710.jpg?lm=1
Leonardo Pavoletti,36,Cagliari Calcio,Centre-Forward,Attack,Italy,€0.8m,https://www.transfermarkt.us/leonardo-pavoletti/profil/spieler/64793,leonardo-pavoletti,64793,Serie A,https://img.a.transfermarkt.technology/portrait/header/64793-1725530760.jpg?lm=1
Devis Vásquez,26,FC Empoli,Goalkeeper,Goalkeeper,Colombia,€2.50m,https://www.transfermarkt.us/devis-vasquez/profil/spieler/495722,devis-vasquez,495722,Serie A,https://img.a.transfermarkt.technology/portrait/header/495722-1730186022.jpg?lm=1
Samuele Perisan,27,FC Empoli,Goalkeeper,Goalkeeper,Italy,€0.6m,https://www.transfermarkt.us/samuele-perisan/profil/spieler/301240,samuele-perisan,301240,Serie A,https://img.a.transfermarkt.technology/portrait/header/301240-1663678229.jpg?lm=1
Federico Brancolini,23,FC Empoli,Goalkeeper,Goalkeeper,Italy,€0.2m,https://www.transfermarkt.us/federico-brancolini/profil/spieler/451154,federico-brancolini,451154,Serie A,https://img.a.transfermarkt.technology/portrait/header/451154-1655122974.jpg?lm=1
Jacopo Seghetti,19,FC Empoli,Goalkeeper,Goalkeeper,Italy,€0.15m,https://www.transfermarkt.us/jacopo-seghetti/profil/spieler/935777,jacopo-seghetti,935777,Serie A,https://img.a.transfermarkt.technology/portrait/header/935777-1704955672.jpg?lm=1
Saba Goglichidze,20,FC Empoli,Centre-Back,Defender,Georgia,€5.00m,https://www.transfermarkt.us/saba-goglichidze/profil/spieler/906160,saba-goglichidze,906160,Serie A,https://img.a.transfermarkt.technology/portrait/header/906160-1732017345.jpg?lm=1
Mattia Viti,22,FC Empoli,Centre-Back,Defender,Italy,€5.00m,https://www.transfermarkt.us/mattia-viti/profil/spieler/493702,mattia-viti,493702,Serie A,https://img.a.transfermarkt.technology/portrait/header/493702-1692882028.jpg?lm=1
Ardian Ismajli,28,FC Empoli,Centre-Back,Defender,Albania,€5.00m,https://www.transfermarkt.us/ardian-ismajli/profil/spieler/435228,ardian-ismajli,435228,Serie A,https://img.a.transfermarkt.technology/portrait/header/435228-1663677962.jpg?lm=1
Saba Sazonov,22,FC Empoli,Centre-Back,Defender,Georgia,€2.80m,https://www.transfermarkt.us/saba-sazonov/profil/spieler/655456,saba-sazonov,655456,Serie A,https://img.a.transfermarkt.technology/portrait/header/655456-1695386095.jpg?lm=1
Luca Marianucci,20,FC Empoli,Centre-Back,Defender,Italy,€0.175m,https://www.transfermarkt.us/luca-marianucci/profil/spieler/814446,luca-marianucci,814446,Serie A,https://img.a.transfermarkt.technology/portrait/header/814446-1721740329.jpg?lm=1
Giuseppe Pezzella,27,FC Empoli,Left-Back,Defender,Italy,€2.20m,https://www.transfermarkt.us/giuseppe-pezzella/profil/spieler/336960,giuseppe-pezzella,336960,Serie A,https://img.a.transfermarkt.technology/portrait/header/336960-1661521548.jpg?lm=1
Liberato Cacace,24,FC Empoli,Left-Back,Defender,New Zealand,€2.00m,https://www.transfermarkt.us/liberato-cacace/profil/spieler/469211,liberato-cacace,469211,Serie A,https://img.a.transfermarkt.technology/portrait/header/469211-1730125371.jpg?lm=1
Junior Sambia,28,FC Empoli,Right-Back,Defender,France,€2.00m,https://www.transfermarkt.us/junior-sambia/profil/spieler/335147,junior-sambia,335147,Serie A,https://img.a.transfermarkt.technology/portrait/header/335147-1730124803.jpg?lm=1
Tyronne Ebuehi,28,FC Empoli,Right-Back,Defender,Nigeria,€2.00m,https://www.transfermarkt.us/tyronne-ebuehi/profil/spieler/309944,tyronne-ebuehi,309944,Serie A,https://img.a.transfermarkt.technology/portrait/header/309944-1730186082.jpg?lm=1
Mattia De Sciglio,32,FC Empoli,Right-Back,Defender,Italy,€1.00m,https://www.transfermarkt.us/mattia-de-sciglio/profil/spieler/88682,mattia-de-sciglio,88682,Serie A,https://img.a.transfermarkt.technology/portrait/header/88682-1663577192.jpg?lm=1
Alberto Grassi,29,FC Empoli,Defensive Midfield,Midfield,Italy,€1.80m,https://www.transfermarkt.us/alberto-grassi/profil/spieler/197473,alberto-grassi,197473,Serie A,https://img.a.transfermarkt.technology/portrait/header/197473-1695031303.jpg?lm=1
Jacopo Fazzini,21,FC Empoli,Central Midfield,Midfield,Italy,€6.00m,https://www.transfermarkt.us/jacopo-fazzini/profil/spieler/691482,jacopo-fazzini,691482,Serie A,https://img.a.transfermarkt.technology/portrait/header/691482-1673249779.jpg?lm=1
Youssef Maleh,26,FC Empoli,Central Midfield,Midfield,Morocco,€4.50m,https://www.transfermarkt.us/youssef-maleh/profil/spieler/324377,youssef-maleh,324377,Serie A,https://img.a.transfermarkt.technology/portrait/header/324377-1663592087.jpg?lm=1
Szymon Żurkowski,27,FC Empoli,Central Midfield,Midfield,Poland,€2.50m,https://www.transfermarkt.us/szymon-zurkowski/profil/spieler/387234,szymon-zurkowski,387234,Serie A,https://img.a.transfermarkt.technology/portrait/header/387234-1656583041.jpg?lm=1
Liam Henderson,28,FC Empoli,Central Midfield,Midfield,Scotland,€1.40m,https://www.transfermarkt.us/liam-henderson/profil/spieler/193867,liam-henderson,193867,Serie A,https://img.a.transfermarkt.technology/portrait/header/193867-1661523222.jpg?lm=1
Luca Belardinelli,23,FC Empoli,Central Midfield,Midfield,Italy,€1.00m,https://www.transfermarkt.us/luca-belardinelli/profil/spieler/467994,luca-belardinelli,467994,Serie A,https://img.a.transfermarkt.technology/portrait/header/467994-1686206983.jpg?lm=1
Nicolas Haas,28,FC Empoli,Central Midfield,Midfield,Switzerland,€0.7m,https://www.transfermarkt.us/nicolas-haas/profil/spieler/192638,nicolas-haas,192638,Serie A,https://img.a.transfermarkt.technology/portrait/header/192638-1725530159.jpg?lm=1
Tino Anjorin,23,FC Empoli,Attacking Midfield,Midfield,England,€1.50m,https://www.transfermarkt.us/tino-anjorin/profil/spieler/433181,tino-anjorin,433181,Serie A,https://img.a.transfermarkt.technology/portrait/header/433181-1724330041.jpg?lm=1
Emmanuel Gyasi,30,FC Empoli,Left Winger,Attack,Ghana,€1.80m,https://www.transfermarkt.us/emmanuel-gyasi/profil/spieler/241076,emmanuel-gyasi,241076,Serie A,https://img.a.transfermarkt.technology/portrait/header/241076-1663687225.jpg?lm=1
Ola Solbakken,26,FC Empoli,Right Winger,Attack,Norway,€2.50m,https://www.transfermarkt.us/ola-solbakken/profil/spieler/431811,ola-solbakken,431811,Serie A,https://img.a.transfermarkt.technology/portrait/header/431811-1673251136.jpg?lm=1
Emmanuel Ekong,22,FC Empoli,Right Winger,Attack,Sweden,€0.5m,https://www.transfermarkt.us/emmanuel-ekong/profil/spieler/603891,emmanuel-ekong,603891,Serie A,https://img.a.transfermarkt.technology/portrait/header/603891-1673249889.jpg?lm=1
Sebastiano Esposito,22,FC Empoli,Second Striker,Attack,Italy,€5.00m,https://www.transfermarkt.us/sebastiano-esposito/profil/spieler/538918,sebastiano-esposito,538918,Serie A,https://img.a.transfermarkt.technology/portrait/header/538918-1730127469.jpg?lm=1
Lorenzo Colombo,22,FC Empoli,Centre-Forward,Attack,Italy,€6.00m,https://www.transfermarkt.us/lorenzo-colombo/profil/spieler/487843,lorenzo-colombo,487843,Serie A,https://img.a.transfermarkt.technology/portrait/header/487843-1730186148.jpg?lm=1
Pietro Pellegri,23,FC Empoli,Centre-Forward,Attack,Italy,€3.00m,https://www.transfermarkt.us/pietro-pellegri/profil/spieler/364133,pietro-pellegri,364133,Serie A,https://img.a.transfermarkt.technology/portrait/header/364133-1663596740.jpg?lm=1
Zion Suzuki,22,Parma Calcio 1913,Goalkeeper,Goalkeeper,Japan,€7.00m,https://www.transfermarkt.us/zion-suzuki/profil/spieler/432298,zion-suzuki,432298,Serie A,https://img.a.transfermarkt.technology/portrait/header/432298-1713345567.png?lm=1
Leandro Chichizola,34,Parma Calcio 1913,Goalkeeper,Goalkeeper,Argentina,€0.4m,https://www.transfermarkt.us/leandro-chichizola/profil/spieler/95736,leandro-chichizola,95736,Serie A,https://img.a.transfermarkt.technology/portrait/header/95736-1712347475.jpg?lm=1
Edoardo Corvi,23,Parma Calcio 1913,Goalkeeper,Goalkeeper,Italy,€0.35m,https://www.transfermarkt.us/edoardo-corvi/profil/spieler/528181,edoardo-corvi,528181,Serie A,https://img.a.transfermarkt.technology/portrait/header/528181-1712347686.jpg?lm=1
Alessandro Circati,21,Parma Calcio 1913,Centre-Back,Defender,Australia,€8.50m,https://www.transfermarkt.us/alessandro-circati/profil/spieler/867137,alessandro-circati,867137,Serie A,https://img.a.transfermarkt.technology/portrait/header/867137-1712749046.jpeg?lm=1
Giovanni Leoni,17,Parma Calcio 1913,Centre-Back,Defender,Italy,€4.50m,https://www.transfermarkt.us/giovanni-leoni/profil/spieler/1086619,giovanni-leoni,1086619,Serie A,https://img.a.transfermarkt.technology/portrait/header/1086619-1708673116.jpg?lm=1
Botond Balogh,22,Parma Calcio 1913,Centre-Back,Defender,Hungary,€2.50m,https://www.transfermarkt.us/botond-balogh/profil/spieler/543727,botond-balogh,543727,Serie A,https://img.a.transfermarkt.technology/portrait/header/543727-1712348148.jpg?lm=1
Yordan Osorio,30,Parma Calcio 1913,Centre-Back,Defender,Venezuela,€2.20m,https://www.transfermarkt.us/yordan-osorio/profil/spieler/358165,yordan-osorio,358165,Serie A,https://img.a.transfermarkt.technology/portrait/header/358165-1719836773.jpg?lm=1
Lautaro Valenti,25,Parma Calcio 1913,Centre-Back,Defender,Argentina,€1.80m,https://www.transfermarkt.us/lautaro-valenti/profil/spieler/625202,lautaro-valenti,625202,Serie A,https://img.a.transfermarkt.technology/portrait/header/625202-1725530168.jpg?lm=1
Emanuele Valeri,25,Parma Calcio 1913,Left-Back,Defender,Italy,€2.30m,https://www.transfermarkt.us/emanuele-valeri/profil/spieler/445126,emanuele-valeri,445126,Serie A,https://img.a.transfermarkt.technology/portrait/header/445126-1663684061.jpg?lm=1
Gianluca Di Chiara,30,Parma Calcio 1913,Left-Back,Defender,Italy,€0.7m,https://www.transfermarkt.us/gianluca-di-chiara/profil/spieler/189340,gianluca-di-chiara,189340,Serie A,https://img.a.transfermarkt.technology/portrait/header/189340-1730185094.jpg?lm=1
Enrico Delprato,25,Parma Calcio 1913,Right-Back,Defender,Italy,€4.50m,https://www.transfermarkt.us/enrico-delprato/profil/spieler/392956,enrico-delprato,392956,Serie A,https://img.a.transfermarkt.technology/portrait/header/392956-1730185180.jpg?lm=1
Woyo Coulibaly,25,Parma Calcio 1913,Right-Back,Defender,France,€2.00m,https://www.transfermarkt.us/woyo-coulibaly/profil/spieler/592975,woyo-coulibaly,592975,Serie A,https://img.a.transfermarkt.technology/portrait/header/592975-1725530223.jpg?lm=1
Mandela Keita,22,Parma Calcio 1913,Defensive Midfield,Midfield,Belgium,€13.00m,https://www.transfermarkt.us/mandela-keita/profil/spieler/707844,mandela-keita,707844,Serie A,https://img.a.transfermarkt.technology/portrait/header/707844-1706174326.jpg?lm=1
Nahuel Estévez,29,Parma Calcio 1913,Defensive Midfield,Midfield,Argentina,€3.50m,https://www.transfermarkt.us/nahuel-estevez/profil/spieler/552472,nahuel-estevez,552472,Serie A,https://img.a.transfermarkt.technology/portrait/header/552472-1712351642.jpg?lm=1
Adrián Bernabé,23,Parma Calcio 1913,Central Midfield,Midfield,Spain,€15.00m,https://www.transfermarkt.us/adrian-bernabe/profil/spieler/466802,adrian-bernabe,466802,Serie A,https://img.a.transfermarkt.technology/portrait/header/466802-1714503707.jpg?lm=1
Simon Sohm,23,Parma Calcio 1913,Central Midfield,Midfield,Switzerland,€2.70m,https://www.transfermarkt.us/simon-sohm/profil/spieler/507486,simon-sohm,507486,Serie A,https://img.a.transfermarkt.technology/portrait/header/507486-1686211320.jpg?lm=1
Hernani,30,Parma Calcio 1913,Central Midfield,Midfield,Brazil,€2.00m,https://www.transfermarkt.us/hernani/profil/spieler/181768,hernani,181768,Serie A,https://img.a.transfermarkt.technology/portrait/header/181768-1686211173.jpg?lm=1
Wylan Cyprien,29,Parma Calcio 1913,Central Midfield,Midfield,France,€1.50m,https://www.transfermarkt.us/wylan-cyprien/profil/spieler/182889,wylan-cyprien,182889,Serie A,https://img.a.transfermarkt.technology/portrait/header/182889-1730185285.jpg?lm=1
Drissa Camara,22,Parma Calcio 1913,Central Midfield,Midfield,Cote d'Ivoire,€1.20m,https://www.transfermarkt.us/drissa-camara/profil/spieler/614742,drissa-camara,614742,Serie A,https://img.a.transfermarkt.technology/portrait/header/614742-1714503149.jpg?lm=1
